time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction
23,-57.487111,1,1000.0,85,2048,,,,,,,,,,,
62,-54.713784,2,1000.0,65,4096,0.0055035357,0.0003,0.32880330085754395,0.2,-0.0031909403391182424,1.0013601779937744,-0.01931619644165039,10,-4.259860128164291,0.6629470237530768,0.03994140625
100,-55.64556216666667,3,1000.0,61,6144,0.008467532,0.0003,0.07623912394046783,0.2,-0.0083646533312276,0.9971165060997009,0.1956140398979187,20,-4.251728691160679,0.5271230632439255,0.08857421875
134,-57.15187575,4,1000.0,60,8192,0.010153977,0.0003,0.0384548157453537,0.2,-0.00914871763670817,0.9871384501457214,0.1068655252456665,30,-4.232062022387981,0.3716831375844777,0.08916015625
167,-54.947953299999995,5,1000.0,61,10240,0.010385083,0.0003,0.002318143844604492,0.2,-0.011527318220760207,0.9801834225654602,0.1185036301612854,40,-4.206522764265538,0.3234763643005863,0.120556640625
205,-54.31833316666666,6,1000.0,59,12288,0.012858031,0.0003,0.011590301990509033,0.2,-0.013903783027490135,0.9790120720863342,0.2942618131637573,50,-4.194210506975651,0.4027188587933779,0.15654296875
245,-55.314352714285704,7,1000.0,58,14336,0.01893911,0.0003,0.001961730420589447,0.2,-0.022635883621114773,0.9616749882698059,0.21436291933059692,60,-4.1648237854242325,0.2985169329098426,0.21201171875
283,-53.8620696875,8,1000.0,57,16384,0.019887267,0.0003,0.017848588526248932,0.2,-0.021240885442966827,0.9718416333198547,0.14860188961029053,70,-4.152969317138195,0.29240524510387333,0.167919921875
321,-53.932463500000004,9,1000.0,57,18432,0.024855856,0.0003,0.0373256653547287,0.2,-0.027615257262368686,0.9646847248077393,0.4371337890625,80,-4.159620250761509,0.2842318285838701,0.206884765625
356,-52.974764500000006,10,1000.0,57,20480,0.021183353,0.0003,0.030999410897493362,0.2,-0.021769656968535854,0.954600989818573,0.19542783498764038,90,-4.1301922589540485,0.22167777203721925,0.17548828125
391,-54.439953181818176,11,1000.0,57,22528,0.023023713,0.0003,0.01966741681098938,0.2,-0.022451020347943995,0.9464185833930969,0.8089390993118286,100,-4.100833596289158,0.2823956079315394,0.221142578125
425,-55.450950625,12,1000.0,57,24576,0.030409884,0.0003,-0.005969807505607605,0.2,-0.02195359871693654,0.948645293712616,0.7604735493659973,110,-4.091727301478386,0.15179843525984324,0.229443359375
460,-56.35439803846153,13,1000.0,57,26624,0.02072595,0.0003,-5.7268887758255005e-05,0.2,-0.018282990611623973,0.9379462599754333,0.8819541931152344,120,-4.075108928978443,0.1844955496955663,0.24130859375
496,-56.01515089285714,14,1000.0,57,28672,0.026673332,0.0003,0.0020887479186058044,0.2,-0.02201329355884809,0.9317457675933838,0.8653373122215271,130,-4.049152226746083,0.12822022354812362,0.242138671875
534,-56.7417071,15,1000.0,57,30720,0.036939368,0.0003,-0.04411879554390907,0.2,-0.02931026289734291,0.9178609848022461,0.7799974083900452,140,-4.0156793192029,0.16390971590881237,0.235546875
572,-57.40672475,16,1000.0,57,32768,0.021913622,0.0003,0.019761480391025543,0.2,-0.02649369853315875,0.9097170233726501,0.8870782256126404,150,-3.9816096425056458,0.1631525111501105,0.2318359375
610,-57.806858500000004,17,1000.0,57,34816,0.024619533,0.0003,-0.03279716894030571,0.2,-0.02356012486561667,0.9062373638153076,0.8958319425582886,160,-3.9630863040685655,0.14531710529408884,0.237060546875
