time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_range,train/clip_fraction
1,76,26,272.7045468,1000.0,704512,,,,,,,,,,,
2,60,67,263.91422694,1000.0,706560,0.8438919186592102,3440,0.0003,6.948074399679899,-4.446914200484753,0.596969723701477,0.030627449154417265,1.066737413406372,0.11643316,0.2,0.51953125
3,56,108,263.09753613,1000.0,708608,0.9425387382507324,3450,0.0003,2.6283160510007293,-4.4473596751689914,0.13214454054832458,0.01062928470200859,1.0713433027267456,0.0957903,0.2,0.38828125
4,54,150,258.05565924,1000.0,710656,0.944858968257904,3460,0.0003,3.4383378866128624,-4.464973174035549,0.1494128406047821,0.013551905009808251,1.0779846906661987,0.14164935,0.2,0.424267578125
5,53,193,253.52527434999996,1000.0,712704,0.9303551912307739,3470,0.0003,3.7554019182920455,-4.473217956721783,0.1641571968793869,-0.002291684487136081,1.0770275592803955,0.1244765,0.2,0.420703125
6,52,235,253.37365774999995,1000.0,714752,0.6881710290908813,3480,0.0003,5.361367771495134,-4.471956299245358,0.3349093794822693,0.013816598305129445,1.0790477991104126,0.26510423,0.2,0.50732421875
7,51,278,254.16877533999997,1000.0,716800,0.8219133615493774,3490,0.0003,4.792352418787777,-4.474822071194649,0.7539293169975281,0.022705232065345627,1.0798026323318481,0.109769166,0.2,0.467822265625
8,51,321,253.75225312999996,1000.0,718848,0.7305306196212769,3500,0.0003,8.603793493285774,-4.475462540984154,0.7272284626960754,0.025690894637955354,1.0809123516082764,0.18194714,0.2,0.56728515625
9,50,364,248.12057697999998,1000.0,720896,0.8655834197998047,3510,0.0003,3.965871723089367,-4.499972093105316,0.42525944113731384,0.02318732767016627,1.0961779356002808,0.09793977,0.2,0.48876953125
10,50,406,246.77957988999998,1000.0,722944,0.9122108221054077,3520,0.0003,2.368254340812564,-4.530172887444496,0.36750268936157227,-0.0032876644690986723,1.1027063131332397,0.16469713,0.2,0.5283203125
11,50,449,244.11300848000002,1000.0,724992,0.8828331232070923,3530,0.0003,4.576141711696982,-4.5264771148562435,0.238542839884758,0.007076782546937466,1.0930814743041992,0.1850474,0.2,0.534130859375
12,49,492,237.39902684,1000.0,727040,0.9025847911834717,3540,0.0003,2.148682638630271,-4.515372917056084,0.3170016407966614,0.016290831562218954,1.0951951742172241,0.1417129,0.2,0.489111328125
13,49,535,239.59969756,1000.0,729088,0.9046118259429932,3550,0.0003,2.6852438152767717,-4.521470473706723,0.1424878090620041,0.01744885148364119,1.0977859497070312,0.106213436,0.2,0.45986328125
14,49,577,239.03691663,1000.0,731136,0.9395899772644043,3560,0.0003,5.015096242912113,-4.534787644445896,0.5468840599060059,0.005230611257138662,1.1094427108764648,0.14036381,0.2,0.486328125
15,49,620,239.50568977999998,1000.0,733184,0.9253478050231934,3570,0.0003,2.7253410878591238,-4.551152716577053,0.20217621326446533,0.011704302595171611,1.1090091466903687,0.17591128,0.2,0.449755859375
16,49,659,242.58260719000006,1000.0,735232,0.9231232404708862,3580,0.0003,3.0513415035791693,-4.549751500785351,0.16616396605968475,0.002659750828752294,1.107995629310608,0.113210164,0.2,0.428173828125
17,43,794,245.75981953000002,1000.0,737280,0.9133983850479126,3590,0.0003,4.0554972166195515,-4.566177685558796,0.29511934518814087,0.008411348576191812,1.1234349012374878,0.082197145,0.2,0.48193359375
18,43,849,246.71694592,1000.0,739328,0.8936555981636047,3600,0.0003,3.734941790997982,-4.596488903462887,0.3593065142631531,0.009434155681810807,1.1283928155899048,0.17828022,0.2,0.45830078125
19,42,905,246.53150571999998,1000.0,741376,0.8916712999343872,3610,0.0003,4.209072568267584,-4.601842720806599,0.4742717146873474,0.011339528459939175,1.1256335973739624,0.09991193,0.2,0.482470703125
20,43,951,253.54121678999996,1000.0,743424,0.9326519966125488,3620,0.0003,3.9814852151088416,-4.596860730648041,0.3224049508571625,0.0040667260516784156,1.1255093812942505,0.13814741,0.2,0.46728515625
21,42,1002,253.91237087,1000.0,745472,0.966909646987915,3630,0.0003,3.790369558427483,-4.601918163895607,0.31127339601516724,0.005678556379280053,1.1285954713821411,0.21049449,0.2,0.447509765625
22,42,1051,253.86591611999995,1000.0,747520,0.959419310092926,3640,0.0003,4.415744994021952,-4.598146477341652,0.44345903396606445,0.008156077847525011,1.1240750551223755,0.1765184,0.2,0.47109375
23,42,1096,256.14389192,1000.0,749568,0.9686053991317749,3650,0.0003,5.924286973942071,-4.595659790933132,0.4597227871417999,0.009184582446323475,1.1294430494308472,0.1258555,0.2,0.42373046875
